Store,Weekly_Sales
20,301397795.0
4,299543953.0
14,288999911.0
13,286517707.0
2,275382441.0
10,271617714.0
27,253855919.0
6,223756129.0
1,222402813.0
39,207445548.0
19,206634855.0
31,199613902.0
23,198750624.0
24,194016024.0
11,193962786.0
28,189263674.0
41,181341936.0
32,166819251.0
18,155114733.0
22,147075642.0
12,144287227.0
26,143416402.0
34,138249767.0
40,137870305.0
35,131520673.0
8,129951174.0
17,127782134.0
45,112395342.0
21,108117877.0
25,101061183.0
43,90565443.0
15,89133689.0
7,81598271.0
42,79565750.0
9,77789219.0
29,77141555.0
16,74252428.0
37,74202741.0
30,62716890.0
3,57586736.0
38,55159625.0
36,53412217.0
5,45475698.0
44,43293082.0
33,37160223.0
