Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Data_Clean,Year,Month,Month_Name,Quarter,Week_Number,Holiday_Status
1,5/2/2010,1643691.0,0,42.31,2.572,211.0964,8.106,2010-02-05,2010,2,February,Q1,5,Non-Holiday
1,12/2/2010,1641957.0,1,38.51,2.548,211.2422,8.106,2010-02-12,2010,2,February,Q1,6,Holiday
1,19-02-2010,1611968.0,0,39.93,2.514,211.2891,8.106,2010-02-19,2010,2,February,Q1,7,Non-Holiday
1,26-02-2010,1409728.0,0,46.63,2.561,211.3196,8.106,2010-02-26,2010,2,February,Q1,8,Non-Holiday
1,5/3/2010,1554807.0,0,46.5,2.625,211.3501,8.106,2010-03-05,2010,3,March,Q1,9,Non-Holiday
1,12/3/2010,1439542.0,0,57.79,2.667,211.3806,8.106,2010-03-12,2010,3,March,Q1,10,Non-Holiday
1,19-03-2010,1472516.0,0,54.58,2.72,211.2156,8.106,2010-03-19,2010,3,March,Q1,11,Non-Holiday
1,26-03-2010,1404430.0,0,51.45,2.732,211.018,8.106,2010-03-26,2010,3,March,Q1,12,Non-Holiday
1,2/4/2010,1594968.0,0,62.27,2.719,210.8204,7.808,2010-04-02,2010,4,April,Q2,13,Non-Holiday
1,9/4/2010,1545419.0,0,65.86,2.77,210.6229,7.808,2010-04-09,2010,4,April,Q2,14,Non-Holiday
1,16-04-2010,1466058.0,0,66.32,2.808,210.4887,7.808,2010-04-16,2010,4,April,Q2,15,Non-Holiday
1,23-04-2010,1391256.0,0,64.84,2.795,210.4391,7.808,2010-04-23,2010,4,April,Q2,16,Non-Holiday
1,30-04-2010,1425101.0,0,67.41,2.78,210.3895,7.808,2010-04-30,2010,4,April,Q2,17,Non-Holiday
1,7/5/2010,1603955.0,0,72.55,2.835,210.34,7.808,2010-05-07,2010,5,May,Q2,18,Non-Holiday
1,14-05-2010,1494252.0,0,74.78,2.854,210.3374,7.808,2010-05-14,2010,5,May,Q2,19,Non-Holiday
1,21-05-2010,1399662.0,0,76.44,2.826,210.6171,7.808,2010-05-21,2010,5,May,Q2,20,Non-Holiday
1,28-05-2010,1432070.0,0,80.44,2.759,210.8968,7.808,2010-05-28,2010,5,May,Q2,21,Non-Holiday
1,4/6/2010,1615525.0,0,80.69,2.705,211.1764,7.808,2010-06-04,2010,6,June,Q2,22,Non-Holiday
1,11/6/2010,1542561.0,0,80.43,2.668,211.4561,7.808,2010-06-11,2010,6,June,Q2,23,Non-Holiday
1,18-06-2010,1503284.0,0,84.11,2.637,211.4538,7.808,2010-06-18,2010,6,June,Q2,24,Non-Holiday
1,25-06-2010,1422712.0,0,84.34,2.653,211.3387,7.808,2010-06-25,2010,6,June,Q2,25,Non-Holiday
1,2/7/2010,1492418.0,0,80.91,2.669,211.2235,7.787,2010-07-02,2010,7,July,Q3,26,Non-Holiday
